replicate,theta_hat,se_theta,z,z_bias_corrected,wald_reject,critical_reject,bias_corrected_reject
129,0.050697982161277744,0.010787092320971142,0.06470531080194768,0.12062457984715863,False,False,False
130,0.044484825335886366,0.011977658397497567,-0.46045516419685967,-0.41009420901734484,False,False,False
131,0.03747480018602802,0.009710807620850439,-1.2898206104998573,-1.2277036021866923,False,False,False
132,0.042670120976961344,0.011569937894599985,-0.6335279488803236,-0.5813922915235588,False,False,False
133,0.06129347522145805,0.013331668108528531,0.8471164395574318,0.8923625642585133,False,False,False
134,0.028266515635511563,0.009102658716980235,-2.3875974086501204,-2.3213303611350153,True,True,True
135,0.02524532151264865,0.008060658664289752,-3.071049093918252,-2.996215715799386,True,True,True
136,0.033254658376392965,0.010694500252257846,-1.5657900068843074,-1.509386593589276,False,False,False
137,0.031995474866421875,0.008322971988626401,-2.1632326959867063,-2.0907578254072767,True,True,True
138,0.055585126821105814,0.011711205984925968,0.4769044988444986,0.5284112624082451,False,False,False
139,0.061666295990436305,0.013196854249315474,0.8840209772750531,0.9297293185445797,False,False,False
140,0.0430479393452581,0.011871021607154116,-0.5856328869414421,-0.5348195418331837,False,False,False
141,0.043105288859175354,0.010155158912481055,-0.6789368044601253,-0.6195378011643174,False,False,False
142,0.042406884326019044,0.010871001942180485,-0.6984743185923805,-0.6429866716468475,False,False,False
143,0.040371985670659354,0.010801808501794647,-0.8913335510198149,-0.8354904653354412,False,False,False
144,0.0349084213470268,0.010157737454702886,-1.4857224574145713,-1.4263385325590772,False,False,False
145,0.04855388884787299,0.011707756280160218,-0.12351736041666411,-0.07199542032178032,False,False,False
146,0.05617323586384058,0.01481932474040322,0.4165666096114314,0.4572706449354796,False,False,False
147,0.053678212927557215,0.014587398011933943,0.2521500355682396,0.2935012290585682,False,False,False
148,0.03394607844348591,0.00918305121519445,-1.7482121334520022,-1.6825252170255929,True,False,True
149,0.04771386792787295,0.011911843541091432,-0.19192092846424189,-0.14128172088641594,False,False,False
150,0.04260002525985637,0.011517730462222719,-0.6424854935106343,-0.5901135162629999,False,False,False
151,0.046865846587727335,0.011748793001430922,-0.26676386347865266,-0.21542188157136669,False,False,False
152,0.06170273457167869,0.014216568494697306,0.8231757597512886,0.8656055709913856,False,False,False
153,0.05464543692335143,0.012677157659296426,0.36644152011037184,0.41402366225321807,False,False,False
154,0.04461677883379377,0.010079244740851888,-0.5340897363457855,-0.47424335566737247,False,False,False
155,0.030021387776428238,0.009778878064981913,-2.0430372575270184,-1.9813526436374158,True,False,True
156,0.037488058441748656,0.009028897585246609,-1.3857662510975977,-1.318957838219201,False,False,False
157,0.05668593374581898,0.011974188591712386,0.5583621549477235,0.6087377034111415,False,False,False
158,0.05199901394055887,0.012052911226364347,0.1658532036796435,0.21589972823982365,False,False,False
159,0.057307322738499894,0.013252463634548258,0.5513935325542192,0.5969100745607482,False,False,False
160,0.03843286416367398,0.010908577537465984,-1.0603706850501993,-1.005074170390962,False,False,False
161,0.05130685352562383,0.012540866650083136,0.10420759283132658,0.15230684582098464,False,False,False
162,0.045037593314440266,0.01075611666379318,-0.46135671829071884,-0.405276411934206,False,False,False
163,0.040781017884821656,0.011472280147190567,-0.8035876039373021,-0.7510081419669951,False,False,False
164,0.03830493054506219,0.010125789825727665,-1.1549784911812917,-1.0954072055735966,False,False,False
165,0.04012744468505386,0.012362518846113687,-0.7985876857166293,-0.7497945291422683,False,False,False
166,0.06991365485160414,0.012985784467862442,1.533496486168161,1.5799477667361344,False,False,False
167,0.036153433228392165,0.00994733787521565,-1.3919871774042516,-1.3313472026412714,False,False,False
168,0.04125720506077073,0.011635592079449492,-0.7513837610954576,-0.6995422807828843,False,False,False
169,0.035230359844886316,0.008428173597217615,-1.752412902362331,-1.6808426729699213,True,False,True
170,0.05307497562201715,0.013033908299954763,0.23592122571767818,0.2822009987397124,False,False,False
171,0.04767856794700839,0.012163426399208924,-0.19085346322666027,-0.1412616543140709,False,False,False
172,0.04351707859172116,0.01211006919519797,-0.5353331433357564,-0.4855228319338113,False,False,False
